region,graduates,entrants,no_preschool,1y_preschool,2y_preschool,3y_preschool,curr_stu_pop,female,grade1,grade2,grade3,grade4,grade5,grade6,est_2024_grads
总     计 Total,17634893,18778830,76265,607292,483802,17611471,108360253,50951580,18784027,17021043,17830650,18036929,18639779,18047825,18588987
北　京 Beijing,146245,235253,1859,3052,2670,227672,1161797,560752,235371,189688,186072,199911,177975,172780,174555
天　津 Tianjin,124610,155683,1969,8004,5476,140234,818370,388863,155708,125775,127432,140046,136888,132521,139516
河　北 Hebei,1142340,1044491,1172,34744,21667,986908,6531750,3079197,1044493,930909,989377,1165396,1190269,1211306,1211665
山　西 Shanxi,379269,398925,63,2039,3581,393242,2318407,1121900,398941,356666,356447,410104,397093,399156,399156
内蒙古 Inner Mongolia,214986,240138,148,3596,4642,231752,1408425,677399,240292,201177,248671,239630,245533,233122,234742
辽　宁 Liaoning,299767,331317,2824,50114,30430,247949,1993743,958339,331339,304255,330560,346675,339260,341654,341654
吉　林 Jilin,188100,172337,113,28890,15403,127931,1095277,528034,172337,164842,170653,190628,196298,200519,200519
黑龙江 Heilongjiang,218840,179219,2864,45169,21804,109382,1059686,511932,179219,166120,180015,199097,211564,123671,217496
上　海 Shanghai,174669,201134,438,1267,1321,198108,937129,447838,201308,185205,186919,184935,178762,0,178762
江　苏 Jiangsu,952062,977441,64,130,647,976600,5885320,2760420,977450,936295,973879,973618,1004483,1019595,1019595
浙　江 Zhejiang,607119,783753,140,4311,1519,777783,4113670,1923722,783836,664642,676901,660305,664175,663811,664755
安　徽 Anhui,777088,803571,875,10074,6038,786584,4722273,2192367,803634,757045,768229,779655,796414,817296,817296
福　建 Fujian,530308,638204,141,7414,3941,626708,3697864,1691797,638574,587608,629487,616708,620386,605101,605101
江　西 Jiangxi,682267,596725,8362,15493,14112,558758,3750629,1722422,597177,570257,599858,617192,661118,705027,705029
山　东 Shandong,1283619,1801986,10751,8884,16471,1765880,8120924,3740488,1802206,1308532,1381798,1299341,1281499,1047548,1303605
河　南 Henan,1691383,1489465,121,36693,24660,1427991,9628783,4540034,1489470,1477079,1616382,1622827,1712565,1710460,1710463
湖　北 Hubei,628441,676828,3030,19728,15456,638614,3895006,1796228,678047,630178,644417,623413,652000,666951,667746
湖　南 Hunan,894578,844762,3388,30216,42927,768231,5184911,2428330,844786,818711,841063,846380,899143,934828,934828
广　东 Guangdong,1693038,1999092,6972,105739,69527,1816854,11105243,5151249,1999234,1757768,1828229,1763564,1915899,1840549,1840542
广　西 Guangxi,836783,838807,8703,76041,46491,707572,5162921,2416004,839150,812929,859648,857266,932694,861234,861234
海　南 Hainan,142225,142449,1688,3632,2420,134709,870602,397106,142539,136841,143580,143596,152089,151957,151962
重　庆 Chongqing,332979,356644,180,2345,8908,345211,2058660,985877,356751,337431,344222,326514,345230,348512,348512
四　川 Sichuan,911654,953281,187,5565,9267,938262,5490451,2647229,953545,883776,896945,878472,933240,944473,944473
贵　州 Guizhou,664946,691482,3811,21761,33587,632323,3945252,1837483,691646,608280,623789,647073,690282,684182,684182
云　南 Yunnan,629815,701812,4854,56693,49275,590990,3864564,1852373,701934,591895,601457,644212,665347,659719,659719
西　藏 Xizang,59387,65867,7054,9576,4341,44896,383510,188330,65922,67143,65171,63221,61551,60502,60502
陕　西 Shaanxi,479286,526845,1309,761,721,524054,3031907,1444431,527078,482975,489307,512352,508374,511821,511821
甘　肃 Gansu,331945,358454,571,1553,4354,351976,2040393,979081,358596,319744,329793,345990,347284,338986,339013
青　海 Qinghai,85073,87667,1234,5395,5246,75792,520101,252924,88026,81593,86672,84342,89876,89592,89592
宁　夏 Ningxia,97731,108650,833,5699,11695,90423,621276,298803,108743,102107,104404,102028,102996,100998,100998
新　疆 Xinjiang,434340,376548,547,2714,5205,368082,2941409,1430628,376675,463577,549273,552438,529492,469954,469954